id,gender,mask_type,age,age_group,path,fname,deepface_bbox_h,deepface_bbox_w,deepface_bbox_x,deepface_bbox_y,ans
000309,0,1,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/incorrect_mask.jpg,230.4,196.4,100.6,139.8,6
000309,0,0,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/mask1.jpg,200.0,167.5,120.75,160.25,0
000309,0,0,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/mask2.jpg,229.66666666666663,186.33333333333331,91.33333333333331,192.33333333333331,0
000309,0,0,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/mask3.jpg,244.0,203.75,82.0,157.0,0
000309,0,0,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/mask4.jpg,218.0,171.33333333333334,102.0,135.0,0
000309,0,0,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/mask5.jpg,223.75,184.75,100.0,155.0,0
000309,0,2,29,0,000309_male_Asian_29,/opt/ml/input/data/train/images/000309_male_Asian_29/normal.jpg,222.0,183.8,105.2,166.6,12
000685,0,1,19,0,000685_male_Asian_19,/opt/ml/input/data/train/images/000685_male_Asian_19/incorrect_mask.jpg,231.66666666666663,185.0,109.0,125.66666666666669,6
000685,0,0,19,0,000685_male_Asian_19,/opt/ml/input/data/train/images/000685_male_Asian_19/mask1.jpg,242.33333333333331,173.33333333333337,118.33333333333331,127.0,0
000685,0,0,19,0,000685_male_Asian_19,/opt/ml/input/data/train/images/000685_male_Asian_19/mask2.jpg,205.25,164.75,113.5,135.25,0
000685,0,0,19,0,000685_male_Asian_19,/opt/ml/input/data/train/images/000685_male_Asian_19/mask3.jpg,150.6,123.2,106.1,126.33333333333334,0
000685,0,0,19,0,000685_male_Asian_19,/opt/ml/input/data/train/images/000685_male_Asian_19/mask4.jpg,248.0,201.0,102.25,109.5,0
